189/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.59
190/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.65
191/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.72000000000001
192/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.85000000000001
193/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.58
194/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.54
195/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.69
196/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.7
197/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.56
198/2940 w = uniform, k = 1, l1 = 2.5, l2 = 2.5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.82000000000001
199/2940 w = uniform, k = 1, l1 = 2.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.61000000000001
200/2940 w = uniform, k = 1, l1 = 2.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.54
201/2940 w = uniform, k = 1, l1 = 2.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.59
202/2940 w = uniform, k = 1, l1 = 2.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 10, accuracy = 86.77
203/2940 w = uniform, k = 1, l1 = 2.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 25, accuracy = 86.67
204/2940 w = uniform, k = 1, l1 = 2.5, l2 = 5, tukey = True, tukey_lambda = 1, kmeans: 50, accuracy = 86.94000000000001
205/2940 w = uniform, k = 1, l1 = 2.5, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 1, accuracy = 86.61000000000001
206/2940 w = uniform, k = 1, l1 = 2.5, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 3, accuracy = 86.55000000000001
207/2940 w = uniform, k = 1, l1 = 2.5, l2 = 10, tukey = True, tukey_lambda = 1, kmeans: 5, accuracy = 86.61000000000001
