test_id,weight,k,l1,l2,tukey,tukey_lambda,seed,kmeans,accuracy
187,uniform,1,2,0.5,True,1,200,50,86.67
188,uniform,1,2,0.5,True,1,300,50,86.6
189,uniform,1,2,0.5,True,1,400,50,86.81
190,uniform,1,2,0.5,True,1,200,100,86.71000000000001
191,uniform,1,2,0.5,True,1,300,100,86.54
192,uniform,1,2,0.5,True,1,400,100,86.7
193,uniform,1,2,1,True,1,200,10,86.44000000000001
194,uniform,1,2,1,True,1,300,10,86.62
195,uniform,1,2,1,True,1,400,10,86.61000000000001
196,uniform,1,2,1,True,1,200,25,86.62
197,uniform,1,2,1,True,1,300,25,86.54
198,uniform,1,2,1,True,1,400,25,86.66
199,uniform,1,2,1,True,1,200,50,86.67
200,uniform,1,2,1,True,1,300,50,86.6
201,uniform,1,2,1,True,1,400,50,86.82000000000001
202,uniform,1,2,1,True,1,200,100,86.71000000000001
203,uniform,1,2,1,True,1,300,100,86.54
204,uniform,1,2,1,True,1,400,100,86.7
205,uniform,1,2,2,True,1,200,10,86.45
206,uniform,1,2,2,True,1,300,10,86.61000000000001
207,uniform,1,2,2,True,1,400,10,86.56
208,uniform,1,2,2,True,1,200,25,86.6
209,uniform,1,2,2,True,1,300,25,86.55000000000001
210,uniform,1,2,2,True,1,400,25,86.66
211,uniform,1,2,2,True,1,200,50,86.68
212,uniform,1,2,2,True,1,300,50,86.6
213,uniform,1,2,2,True,1,400,50,86.84
214,uniform,1,2,2,True,1,200,100,86.68
215,uniform,1,2,2,True,1,300,100,86.47
216,uniform,1,2,2,True,1,400,100,86.67
217,uniform,1,2,2.5,True,1,200,10,86.45
218,uniform,1,2,2.5,True,1,300,10,86.66
219,uniform,1,2,2.5,True,1,400,10,86.67
220,uniform,1,2,2.5,True,1,200,25,86.62
221,uniform,1,2,2.5,True,1,300,25,86.55000000000001
222,uniform,1,2,2.5,True,1,400,25,86.64
223,uniform,1,2,2.5,True,1,200,50,86.68
224,uniform,1,2,2.5,True,1,300,50,86.59
225,uniform,1,2,2.5,True,1,400,50,86.81
226,uniform,1,2,2.5,True,1,200,100,86.71000000000001
227,uniform,1,2,2.5,True,1,300,100,86.54
228,uniform,1,2,2.5,True,1,400,100,86.74000000000001
229,uniform,1,2,5,True,1,200,10,86.44000000000001
230,uniform,1,2,5,True,1,300,10,86.65
231,uniform,1,2,5,True,1,400,10,86.63000000000001
232,uniform,1,2,5,True,1,200,25,86.63000000000001
233,uniform,1,2,5,True,1,300,25,86.55000000000001
234,uniform,1,2,5,True,1,400,25,86.66
235,uniform,1,2,5,True,1,200,50,86.68
236,uniform,1,2,5,True,1,300,50,86.59
237,uniform,1,2,5,True,1,400,50,86.8
238,uniform,1,2,5,True,1,200,100,86.71000000000001
239,uniform,1,2,5,True,1,300,100,86.56
240,uniform,1,2,5,True,1,400,100,86.73
241,uniform,1,2,10,True,1,200,10,86.45
242,uniform,1,2,10,True,1,300,10,86.64
243,uniform,1,2,10,True,1,400,10,86.62
244,uniform,1,2,10,True,1,200,25,86.63000000000001
245,uniform,1,2,10,True,1,300,25,86.54
246,uniform,1,2,10,True,1,400,25,86.66
247,uniform,1,2,10,True,1,200,50,86.69
248,uniform,1,2,10,True,1,300,50,86.59
249,uniform,1,2,10,True,1,400,50,86.8
250,uniform,1,2,10,True,1,200,100,86.71000000000001
251,uniform,1,2,10,True,1,300,100,86.56
252,uniform,1,2,10,True,1,400,100,86.73
253,uniform,1,2.5,0,True,1,200,10,86.69
254,uniform,1,2.5,0,True,1,300,10,86.88
255,uniform,1,2.5,0,True,1,400,10,86.65
256,uniform,1,2.5,0,True,1,200,25,86.87
257,uniform,1,2.5,0,True,1,300,25,86.61000000000001
258,uniform,1,2.5,0,True,1,400,25,86.81
259,uniform,1,2.5,0,True,1,200,50,86.77
260,uniform,1,2.5,0,True,1,300,50,86.66
261,uniform,1,2.5,0,True,1,400,50,86.89
262,uniform,1,2.5,0,True,1,200,100,86.77
263,uniform,1,2.5,0,True,1,300,100,86.6
264,uniform,1,2.5,0,True,1,400,100,86.87
265,uniform,1,2.5,0.5,True,1,200,10,86.69
266,uniform,1,2.5,0.5,True,1,300,10,86.88
267,uniform,1,2.5,0.5,True,1,400,10,86.65
268,uniform,1,2.5,0.5,True,1,200,25,86.87
269,uniform,1,2.5,0.5,True,1,300,25,86.61000000000001
270,uniform,1,2.5,0.5,True,1,400,25,86.81
271,uniform,1,2.5,0.5,True,1,200,50,86.77
272,uniform,1,2.5,0.5,True,1,300,50,86.66
273,uniform,1,2.5,0.5,True,1,400,50,86.89
274,uniform,1,2.5,0.5,True,1,200,100,86.78
275,uniform,1,2.5,0.5,True,1,300,100,86.6
276,uniform,1,2.5,0.5,True,1,400,100,86.87
277,uniform,1,2.5,1,True,1,200,10,86.69
278,uniform,1,2.5,1,True,1,300,10,86.87
279,uniform,1,2.5,1,True,1,400,10,86.65
280,uniform,1,2.5,1,True,1,200,25,86.87
281,uniform,1,2.5,1,True,1,300,25,86.61000000000001
282,uniform,1,2.5,1,True,1,400,25,86.81
283,uniform,1,2.5,1,True,1,200,50,86.78
284,uniform,1,2.5,1,True,1,300,50,86.66
285,uniform,1,2.5,1,True,1,400,50,86.89
286,uniform,1,2.5,1,True,1,200,100,86.78
287,uniform,1,2.5,1,True,1,300,100,86.6
288,uniform,1,2.5,1,True,1,400,100,86.87
289,uniform,1,2.5,2,True,1,200,10,86.68
290,uniform,1,2.5,2,True,1,300,10,86.87
291,uniform,1,2.5,2,True,1,400,10,86.64
292,uniform,1,2.5,2,True,1,200,25,86.88
293,uniform,1,2.5,2,True,1,300,25,86.61000000000001
294,uniform,1,2.5,2,True,1,400,25,86.8
295,uniform,1,2.5,2,True,1,200,50,86.79
296,uniform,1,2.5,2,True,1,300,50,86.65
297,uniform,1,2.5,2,True,1,400,50,86.87
298,uniform,1,2.5,2,True,1,200,100,86.77
299,uniform,1,2.5,2,True,1,300,100,86.6
300,uniform,1,2.5,2,True,1,400,100,86.87
301,uniform,1,2.5,2.5,True,1,200,10,86.68
302,uniform,1,2.5,2.5,True,1,300,10,86.83000000000001
303,uniform,1,2.5,2.5,True,1,400,10,86.64
304,uniform,1,2.5,2.5,True,1,200,25,86.8
305,uniform,1,2.5,2.5,True,1,300,25,86.56
306,uniform,1,2.5,2.5,True,1,400,25,86.83000000000001
307,uniform,1,2.5,2.5,True,1,200,50,86.77
308,uniform,1,2.5,2.5,True,1,300,50,86.7
309,uniform,1,2.5,2.5,True,1,400,50,86.83000000000001
310,uniform,1,2.5,2.5,True,1,200,100,86.72000000000001
311,uniform,1,2.5,2.5,True,1,300,100,86.55000000000001
312,uniform,1,2.5,2.5,True,1,400,100,86.84
313,uniform,1,2.5,5,True,1,200,10,86.68
314,uniform,1,2.5,5,True,1,300,10,86.89
315,uniform,1,2.5,5,True,1,400,10,86.66
316,uniform,1,2.5,5,True,1,200,25,86.88
317,uniform,1,2.5,5,True,1,300,25,86.59
318,uniform,1,2.5,5,True,1,400,25,86.81
319,uniform,1,2.5,5,True,1,200,50,86.76
320,uniform,1,2.5,5,True,1,300,50,86.66
321,uniform,1,2.5,5,True,1,400,50,86.91000000000001
322,uniform,1,2.5,5,True,1,200,100,86.76
323,uniform,1,2.5,5,True,1,300,100,86.6
324,uniform,1,2.5,5,True,1,400,100,86.89
325,uniform,1,2.5,10,True,1,200,10,86.7
326,uniform,1,2.5,10,True,1,300,10,86.87
327,uniform,1,2.5,10,True,1,400,10,86.66
328,uniform,1,2.5,10,True,1,200,25,86.89
329,uniform,1,2.5,10,True,1,300,25,86.59
330,uniform,1,2.5,10,True,1,400,25,86.81
331,uniform,1,2.5,10,True,1,200,50,86.76
332,uniform,1,2.5,10,True,1,300,50,86.66
333,uniform,1,2.5,10,True,1,400,50,86.9
334,uniform,1,2.5,10,True,1,200,100,86.76
335,uniform,1,2.5,10,True,1,300,100,86.61000000000001
336,uniform,1,2.5,10,True,1,400,100,86.87
337,uniform,1,5,0,True,1,200,10,86.69
338,uniform,1,5,0,True,1,300,10,87.04
339,uniform,1,5,0,True,1,400,10,86.75
340,uniform,1,5,0,True,1,200,25,86.93
341,uniform,1,5,0,True,1,300,25,86.84
342,uniform,1,5,0,True,1,400,25,86.76
